item_id_a,item_id_b,protein_name,protein_desc
CID000216239,9606.ENSP00000466477,TSSK6,Testis-specific serine/threonine-protein kinase 6; Required for sperm production and function. Plays a role in DNA condensation during postmeiotic chromatin remodeling (By similarity).
CID000216239,9606.ENSP00000225577,RPS6KB1,"Ribosomal protein S6 kinase beta-1; Serine/threonine-protein kinase that acts downstream of mTOR signaling in response to growth factors and nutrients to promote cell proliferation, cell growth and cell cycle progression. Regulates protein synthesis through phosphorylation of EIF4B, RPS6 and EEF2K, and contributes to cell survival by repressing the pro-apoptotic function of BAD. Under conditions of nutrient depletion, the inactive form associates with the EIF3 translation initiation complex. Upon mitogenic stimulation, phosphorylation by the mammalian target of rapamycin complex 1 (mTO [...] "
CID000216239,9606.ENSP00000401445,ERN1,"Serine/threonine-protein kinase/endoribonuclease IRE1; Serine/threonine-protein kinase and endoribonuclease that acts as a key sensor for the endoplasmic reticulum unfolded protein response (UPR). In unstressed cells, the endoplasmic reticulum luminal domain is maintained in its inactive monomeric state by binding to the endoplasmic reticulum chaperone HSPA5/BiP. Accumulation of misfolded protein in the endoplasmic reticulum causes release of HSPA5/BiP, allowing the luminal domain to homodimerize, promoting autophosphorylation of the kinase domain and subsequent activation of the endor [...] "
CID000216239,9606.ENSP00000301178,AXL,"Tyrosine-protein kinase receptor UFO; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding growth factor GAS6 and which is thus regulating many physiological processes including cell survival, cell proliferation, migration and differentiation. Ligand binding at the cell surface induces dimerization and autophosphorylation of AXL. Following activation by ligand, ALX binds and induces tyrosine phosphorylation of PI3-kinase subunits PIK3R1, PIK3R2 and PIK3R3; but also GRB2, PLCG1, LCK and PTPN11. Other downstream substrate candidates [...] "
CID000216239,9606.ENSP00000362608,PIM1,"Serine/threonine-protein kinase pim-1; Proto-oncogene with serine/threonine kinase activity involved in cell survival and cell proliferation and thus providing a selective advantage in tumorigenesis. Exerts its oncogenic activity through: the regulation of MYC transcriptional activity, the regulation of cell cycle progression and by phosphorylation and inhibition of proapoptotic proteins (BAD, MAP3K5, FOXO3). Phosphorylation of MYC leads to an increase of MYC protein stability and thereby an increase of transcriptional activity. The stabilization of MYC exerted by PIM1 might explain pa [...] "
CID000216239,9606.ENSP00000451263,MAP3K9,"Mitogen-activated protein kinase kinase kinase 9; Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an important role in the cascades of cellular responses evoked by changes in the environment. Once activated, acts as an upstream activator of the MKK/JNK signal transduction cascade through the phosphorylation of MAP2K4/MKK4 and MAP2K7/MKK7 which in turn activate the JNKs. The MKK/JNK signaling pathway regulates stress response via activator protein-1 (JUN) and GATA4 transcription factors. Plays also a role in mitochondrial [...] "
CID000216239,9606.ENSP00000428489,PBK,"Lymphokine-activated killer T-cell-originated protein kinase; Phosphorylates MAP kinase p38. Seems to be active only in mitosis. May also play a role in the activation of lymphoid cells. When phosphorylated, forms a complex with TP53, leading to TP53 destabilization and attenuation of G2/M checkpoint during doxorubicin- induced DNA damage; Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily."
CID000216239,9606.ENSP00000270112,HUNK,Hormonally up-regulated Neu-associated kinase.
CID000216239,9606.ENSP00000498083,MKNK1,"MAP kinase-interacting serine/threonine-protein kinase 1; May play a role in the response to environmental stress and cytokines. Appears to regulate translation by phosphorylating EIF4E, thus increasing the affinity of this protein for the 7-methylguanosine- containing mRNA cap. Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family."
CID000216239,9606.ENSP00000356899,DDR2,"Discoidin domain-containing receptor 2; Tyrosine kinase involved in the regulation of tissues remodeling. It functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development. Regulates osteoblast differentiation and chondrocyte maturation via a signaling pathway that involves MAP kinases and leads to the activation of the transcription factor RUNX2. Regulates remodeling of the extracellular matrix by up- regulation of the collagenases MMP1, MM [...] "
CID000216239,9606.ENSP00000351209,EPHA2,"Ephrin type-A receptor 2; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Activated by the ligand ephrin- A1/EFNA1 regulates migration, integrin-mediated adhesion, proliferation and differentiation of cells. Regulates cell adhesion and differentiation through DS [...] "
CID000216239,9606.ENSP00000361554,TIE1,Tyrosine-protein kinase receptor Tie-1; Transmembrane tyrosine-protein kinase that may modulate TEK/TIE2 activity and contribute to the regulation of angiogenesis.
CID000216239,9606.ENSP00000374323,EPHA6,"Ephrin type-A receptor 6; Receptor tyrosine kinase which binds promiscuously GPI- anchored ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling (By similarity)."
CID000216239,9606.ENSP00000322251,TNNI3K,Serine/threonine-protein kinase TNNI3K; May play a role in cardiac physiology. Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily.
CID000216239,9606.ENSP00000220003,CSK,"Tyrosine-protein kinase CSK; Non-receptor tyrosine-protein kinase that plays an important role in the regulation of cell growth, differentiation, migration and immune response. Phosphorylates tyrosine residues located in the C- terminal tails of Src-family kinases (SFKs) including LCK, SRC, HCK, FYN, LYN, CSK or YES1. Upon tail phosphorylation, Src-family members engage in intramolecular interactions between the phosphotyrosine tail and the SH2 domain that result in an inactive conformation. To inhibit SFKs, CSK is recruited to the plasma membrane via binding to transmembrane proteins  [...] "
CID000216239,9606.ENSP00000250896,MKNK2,"MAP kinase-interacting serine/threonine-protein kinase 2; Serine/threonine-protein kinase that phosphorylates SFPQ/PSF, HNRNPA1 and EIF4E. May play a role in the response to environmental stress and cytokines. Appears to regulate translation by phosphorylating EIF4E, thus increasing the affinity of this protein for the 7-methylguanosine-containing mRNA cap. Required for mediating PP2A- inhibition-induced EIF4E phosphorylation. Triggers EIF4E shuttling from cytoplasm to nucleus. Isoform 1 displays a high basal kinase activity, but isoform 2 exhibits a very low kinase activity. Acts as a [...] "
CID000216239,9606.ENSP00000428982,CCNC,"Cyclin-C; Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin- dependent kinase CDK8 that phosphoryla [...] "
CID000216239,9606.ENSP00000075503,STYK1,"Tyrosine-protein kinase STYK1; Probable tyrosine protein-kinase, which has strong transforming capabilities on a variety of cell lines. When overexpressed, it can also induce tumor cell invasion as well as metastasis in distant organs. May act by activating both MAP kinase and phosphatidylinositol 3'-kinases (PI3K) pathways (By similarity)."
CID000216239,9606.ENSP00000258400,HTR2B,5-hydroxytryptamine receptor 2B; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various ergot alkaloid derivatives and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. Signaling activates a phosphatidylinositol-calcium second messenger system that modulates the activity o [...] 
CID000216239,9606.ENSP00000332454,RIPK4,Receptor-interacting serine/threonine-protein kinase 4; Involved in stratified epithelial development. It is a direct transcriptional target of TP63. Plays a role in NF-kappa-B activation.
CID000216239,9606.ENSP00000295408,MERTK,"Tyrosine-protein kinase Mer; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to several ligands including LGALS3, TUB, TULP1 or GAS6. Regulates many physiological processes including cell survival, migration, differentiation, and phagocytosis of apoptotic cells (efferocytosis). Ligand binding at the cell surface induces autophosphorylation of MERTK on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with GRB2 or PLCG2 and induces phosphorylation [...] "
CID000216239,9606.ENSP00000398655,ITK,"Tyrosine-protein kinase ITK/TSK; Tyrosine kinase that plays an essential role in regulation of the adaptive immune response. Regulates the development, function and differentiation of conventional T-cells and nonconventional NKT-cells. When antigen presenting cells (APC) activate T-cell receptor (TCR), a series of phosphorylation lead to the recruitment of ITK to the cell membrane, in the vicinity of the stimulated TCR receptor, where it is phosphorylated by LCK. Phosphorylation leads to ITK autophosphorylation and full activation. Once activated, phosphorylates PLCG1, leading to the a [...] "
CID000216239,9606.ENSP00000365012,HCK,"Tyrosine-protein kinase HCK; Non-receptor tyrosine-protein kinase found in hematopoietic cells that transmits signals from cell surface receptors and plays an important role in the regulation of innate immune responses, including neutrophil, monocyte, macrophage and mast cell functions, phagocytosis, cell survival and proliferation, cell adhesion and migration. Acts downstream of receptors that bind the Fc region of immunoglobulins, such as FCGR1A and FCGR2A, but also CSF3R, PLAUR, the receptors for IFNG, IL2, IL6 and IL8, and integrins, such as ITGB1 and ITGB2. During the phagocytic p [...] "
CID000216239,9606.ENSP00000276198,HTR2C,"5-hydroxytryptamine receptor 2C; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various drugs and psychoactive substances, including ergot alkaloid derivatives, 1-2,5,- dimethoxy-4-iodophenyl-2-aminopropane (DOI) and lysergic acid diethylamide (LSD). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathway [...] "
CID000216239,9606.ENSP00000384625,NLK,"Serine/threonine-protein kinase NLK; Serine/threonine-protein kinase that regulates a number of transcription factors with key roles in cell fate determination. Positive effector of the non-canonical Wnt signaling pathway, acting downstream of WNT5A, MAP3K7/TAK1 and HIPK2. Activation of this pathway causes binding to and phosphorylation of the histone methyltransferase SETDB1. The NLK-SETDB1 complex subsequently interacts with PPARG, leading to methylation of PPARG target promoters at histone H3K9 and transcriptional silencing. The resulting loss of PPARG target gene transcription inhi [...] "
CID000216239,9606.ENSP00000306340,CDKL2,Cyclin-dependent kinase-like 2; Cyclin dependent kinase like 2.
CID000216239,9606.ENSP00000360120,ROR1,"Inactive tyrosine-protein kinase transmembrane receptor ROR1; Has very low kinase activity in vitro and is unlikely to function as a tyrosine kinase in vivo. Receptor for ligand WNT5A which activate downstream NFkB signaling pathway and may result in the inhibition of WNT3A-mediated signaling. In inner ear, crucial for spiral ganglion neurons to innervate auditory hair cells."
CID000216239,9606.ENSP00000354207,NTRK3,"NT-3 growth factor receptor; Receptor tyrosine kinase involved in nervous system and probably heart development. Upon binding of its ligand NTF3/neurotrophin-3, NTRK3 autophosphorylates and activates different signaling pathways, including the phosphatidylinositol 3-kinase/AKT and the MAPK pathways, that control cell survival and differentiation."
CID000216239,9606.ENSP00000277120,NTRK2,"BDNF/NT-3 growth factors receptor; Receptor tyrosine kinase involved in the development and the maturation of the central and the peripheral nervous systems through regulation of neuron survival, proliferation, migration, differentiation, and synapse formation and plasticity (By similarity). Receptor for BDNF/brain-derived neurotrophic factor and NTF4/neurotrophin-4. Alternatively can also bind NTF3/neurotrophin-3 which is less efficient in activating the receptor but regulates neuron survival through NTRK2. Upon ligand- binding, undergoes homodimerization, autophosphorylation and acti [...] "
CID000216239,9606.ENSP00000220751,RIPK2,"Receptor-interacting serine/threonine-protein kinase 2; Serine/threonine/tyrosine kinase that plays an essential role in modulation of innate and adaptive immune responses. Upon stimulation by bacterial peptidoglycans, NOD1 and NOD2 are activated, oligomerize and recruit RIPK2 through CARD-CARD domains. Contributes to the tyrosine phosphorylation of the guanine exchange factor ARHGEF2 through Src tyrosine kinase leading to NF-kappaB activation by NOD2. Once recruited, RIPK2 autophosphorylates and undergoes 'Lys-63'-linked polyubiquitination by E3 ubiquitin ligases XIAP, BIRC2 and BIRC3 [...] "
CID000216239,9606.ENSP00000339916,LIMK2,LIM domain kinase 2; Serine/threonine-protein kinase that plays an essential role in the regulation of actin filament dynamics. Acts downstream of several Rho family GTPase signal transduction pathways. Involved in astral microtubule organization and mitotic spindle orientation during early stage of mitosis by mediating phosphorylation of TPPP. Displays serine/threonine-specific phosphorylation of myelin basic protein and histone (MBP) in vitro.
CID000216239,9606.ENSP00000294964,PKDCC,"Extracellular tyrosine-protein kinase PKDCC; Secreted tyrosine-protein kinase that mediates phosphorylation of extracellular proteins and endogenous proteins in the secretory pathway, which is essential for patterning at organogenesis stages. Mediates phosphorylation of MMP1, MMP13, MMP14, MMP19 and ERP29. Probably plays a role in platelets: rapidly and quantitatively secreted from platelets in response to stimulation of platelet degranulation. May also have serine/threonine protein kinase activity. Required for longitudinal bone growth through regulation of chondrocyte differentiation [...] "
CID000216239,9606.ENSP00000346671,FYN,"Tyrosine-protein kinase Fyn; Non-receptor tyrosine-protein kinase that plays a role in many biological processes including regulation of cell growth and survival, cell adhesion, integrin-mediated signaling, cytoskeletal remodeling, cell motility, immune response and axon guidance. Inactive FYN is phosphorylated on its C-terminal tail within the catalytic domain. Following activation by PKA, the protein subsequently associates with PTK2/FAK1, allowing PTK2/FAK1 phosphorylation, activation and targeting to focal adhesions. Involved in the regulation of cell adhesion and motility through  [...] "
CID000216239,9606.ENSP00000483570,BTK,"Tyrosine-protein kinase BTK; Non-receptor tyrosine kinase indispensable for B lymphocyte development, differentiation and signaling. Binding of antigen to the B-cell antigen receptor (BCR) triggers signaling that ultimately leads to B-cell activation. After BCR engagement and activation at the plasma membrane, phosphorylates PLCG2 at several sites, igniting the downstream signaling pathway through calcium mobilization, followed by activation of the protein kinase C (PKC) family members. PLCG2 phosphorylation is performed in close cooperation with the adapter protein B-cell linker prote [...] "
CID000003042,9606.ENSP00000306490,CHRM1,"Muscarinic acetylcholine receptor M1; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover; Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM1 sub-subfamily."
CID000003042,9606.ENSP00000399745,CHRM2,"Muscarinic acetylcholine receptor M2; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is adenylate cyclase inhibition. Signaling promotes phospholipase C activity, leading to the release of inositol trisphosphate (IP3); this then triggers calcium ion release into the cytosol."
CID000003042,9606.ENSP00000372750,CHRM5,"Muscarinic acetylcholine receptor M5; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover."
CID000003042,9606.ENSP00000373169,DRD3,D(3) dopamine receptor; Dopamine receptor whose activity is mediated by G proteins which inhibit adenylyl cyclase. Promotes cell proliferation.
CID000003042,9606.ENSP00000255380,CHRM3,"Muscarinic acetylcholine receptor M3; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover."
CID000003042,9606.ENSP00000366506,HRH2,"Histamine H2 receptor; The H2 subclass of histamine receptors mediates gastric acid secretion. Also appears to regulate gastrointestinal motility and intestinal secretion. Possible role in regulating cell growth and differentiation. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase and, through a separate G protein-dependent mechanism, the phosphoinositide/protein kinase (PKC) signaling pathway (By similarity); Belongs to the G-protein coupled receptor 1 family."
CID000003042,9606.ENSP00000258400,HTR2B,5-hydroxytryptamine receptor 2B; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various ergot alkaloid derivatives and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. Signaling activates a phosphatidylinositol-calcium second messenger system that modulates the activity o [...] 
CID000003042,9606.ENSP00000437737,HTR2A,"5-hydroxytryptamine receptor 2A; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various drugs and psychoactive substances, including mescaline, psilocybin, 1-(2,5-dimethoxy-4-iodophenyl)-2- aminopropane (DOI) and lysergic acid diethylamide (LSD). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. S [...] "
CID000003042,9606.ENSP00000409378,CHRM4,"Muscarinic acetylcholine receptor M4; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is inhibition of adenylate cyclase; Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM4 sub-subfamily."
CID000003042,9606.ENSP00000380247,HRH1,"Histamine H1 receptor; In peripheral tissues, the H1 subclass of histamine receptors mediates the contraction of smooth muscles, increase in capillary permeability due to contraction of terminal venules, and catecholamine release from adrenal medulla, as well as mediating neurotransmission in the central nervous system."
CID000003042,9606.ENSP00000276198,HTR2C,"5-hydroxytryptamine receptor 2C; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various drugs and psychoactive substances, including ergot alkaloid derivatives, 1-2,5,- dimethoxy-4-iodophenyl-2-aminopropane (DOI) and lysergic acid diethylamide (LSD). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathway [...] "
CID000002369,9606.ENSP00000363596,CNR2,"Cannabinoid receptor 2; Heterotrimeric G protein-coupled receptor for endocannabinoid 2-arachidonoylglycerol mediating inhibition of adenylate cyclase. May function in inflammatory response, nociceptive transmission and bone homeostasis."
CID000002369,9606.ENSP00000458791,GPR139,Probable G-protein coupled receptor 139; Orphan receptor. Seems to act through a G(q/11)-mediated pathway.
CID000002369,9606.ENSP00000284674,GPR26,"G-protein coupled receptor 26; Orphan receptor. Displays a significant level of constitutive activity. Its effect is mediated by G(s)-alpha protein that stimulate adenylate cyclase, resulting in an elevation of intracellular cAMP."
CID000002369,9606.ENSP00000249016,MCHR1,"Melanin-concentrating hormone receptor 1; Receptor for melanin-concentrating hormone, coupled to both G proteins that inhibit adenylyl cyclase and G proteins that activate phosphoinositide hydrolysis; Belongs to the G-protein coupled receptor 1 family."
CID000002369,9606.ENSP00000362746,GPR21,Probable G-protein coupled receptor 21; Orphan receptor.
CID000002369,9606.ENSP00000302676,GPR22,G-protein coupled receptor 22; Orphan G-protein coupled receptor. Seems to act through a G(i)/G(o) mediated pathway. May be involved in ciliogenesis (By similarity).
CID000002369,9606.ENSP00000498976,GPR19,Probable G-protein coupled receptor 19; Orphan receptor.
CID000002369,9606.ENSP00000314223,GPR88,"Probable G-protein coupled receptor 88; Probable G-protein coupled receptor implicated in a large repertoire of behavioral responses that engage motor activities, spatial learning, and emotional processing. May play a role in the regulation of cognitive and motor function."
CID000002369,9606.ENSP00000304501,ADORA2B,Adenosine receptor A2b; Receptor for adenosine. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.
CID000002369,9606.ENSP00000480012,ADORA2A,Adenosine receptor A2a; Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity); Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000356205,ADORA1,Adenosine receptor A1; Receptor for adenosine. The activity of this receptor is mediated by G proteins which inhibit adenylyl cyclase; Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000314992,RRH,Visual pigment-like receptor peropsin; May play a role in rpe physiology either by detecting light directly or by monitoring the concentration of retinoids or other photoreceptor-derived compounds.
CID000002369,9606.ENSP00000356908,TAAR2,Trace amine-associated receptor 2; Orphan receptor; Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000356251,GPR37L1,"G-protein coupled receptor 37-like 1; G-protein coupled receptor. Has been shown to bind the neuroprotective and glioprotective factor prosaposin (PSAP), leading to endocytosis followed by an ERK phosphorylation cascade. However, other studies have shown that prosaposin does not increase activity. It has been suggested that GPR37L1 is a constitutively active receptor which signals through the guanine nucleotide-binding protein G(s) subunit alpha. Participates in the regulation of postnatal cerebellar development by modulating the Shh pathway (By similarity). Regulates baseline blood pr [...] "
CID000002369,9606.ENSP00000234961,OPRD1,"Delta-type opioid receptor; G-protein coupled receptor that functions as receptor for endogenous enkephalins and for a subset of other opioids. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling leads to the inhibition of adenylate cyclase activity. Inhibits neurotransmitter release by reducing calcium ion currents and increasing potassium ion conductance. Plays a role in the perception of pain and in opiate-mediated analgesia.  [...] "
CID000002369,9606.ENSP00000395704,CXCR6,C-X-C chemokine receptor type 6; Receptor for the C-X-C chemokine CXCL16. Used as a coreceptor by SIVs and by strains of HIV-2 and m-tropic HIV-1.
CID000002369,9606.ENSP00000394624,OPRM1,"Mu-type opioid receptor; Receptor for endogenous opioids such as beta-endorphin and endomorphin. Receptor for natural and synthetic opioids including morphine, heroin, DAMGO, fentanyl, etorphine, buprenorphin and methadone. Agonist binding to the receptor induces coupling to an inactive GDP-bound heterotrimeric G-protein complex and subsequent exchange of GDP for GTP in the G-protein alpha subunit leading to dissociation of the G-protein complex with the free GTP-bound G-protein alpha and the G-protein beta-gamma dimer activating downstream cellular effectors. The agonist- and cell typ [...] "
CID000002369,9606.ENSP00000371927,GPR78,"G-protein coupled receptor 78; Orphan receptor. Displays a significant level of constitutive activity. Its effect is mediated by G(s)-alpha protein that stimulate adenylate cyclase, resulting in an elevation of intracellular cAMP."
CID000002369,9606.ENSP00000423917,NPY5R,Neuropeptide Y receptor type 5; Receptor for neuropeptide Y and peptide YY. The activity of this receptor is mediated by G proteins that inhibit adenylate cyclase activity. Seems to be associated with food intake. Could be involved in feeding disorders.
CID000002369,9606.ENSP00000360255,OPN5,Opsin-5; Opsin 5.
CID000002369,9606.ENSP00000303149,GPR27,Probable G-protein coupled receptor 27; Orphan receptor. Possible candidate for amine-like G-protein coupled receptor.
CID000002369,9606.ENSP00000281806,MCHR2,"Melanin-concentrating hormone receptor 2; Receptor for melanin-concentrating hormone, coupled to G proteins that activate phosphoinositide hydrolysis."
CID000002369,9606.ENSP00000234371,KISS1R,"KiSS-1 receptor; Receptor for metastin (kisspeptin-54 or kp-54), a C- terminally amidated peptide of KiSS1. KiSS1 is a metastasis suppressor protein that suppresses metastases in malignant melanomas and in some breast carcinomas without affecting tumorigenicity. The metastasis suppressor properties may be mediated in part by cell cycle arrest and induction of apoptosis in malignant cells. The receptor is essential for normal gonadotropin-released hormone physiology and for puberty. The hypothalamic KiSS1/KISS1R system is a pivotal factor in central regulation of the gonadotropic axis a [...] "
CID000002369,9606.ENSP00000332591,NPY2R,"Neuropeptide Y receptor type 2; Receptor for neuropeptide Y and peptide YY. The rank order of affinity of this receptor for pancreatic polypeptides is PYY > NPY > PYY (3-36) > NPY (2-36) > [Ile-31, Gln-34] PP > [Leu-31, Pro-34] NPY > PP, [Pro-34] PYY and NPY free acid."
CID000002369,9606.ENSP00000297146,GPR85,Probable G-protein coupled receptor 85; Orphan receptor; Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000331600,GPR173,"Probable G-protein coupled receptor 173; Is a receptor for the SMIM20 derived peptides Phoenixin-14 and Phoenixin-20 (By similarity). It mediates the Phoenixin-14 and Phoenixin-20 augmentation of gonadotropin-releasing hormone (GNRH) signaling in the hypothalamus and pituitary gland (By similarity). In the ovary, it mediates the effects of Phoenixin-14 and Phoenixin-20 induced granulosa cell proliferation during follicular growth."
CID000002369,9606.ENSP00000307822,NPFFR2,"Neuropeptide FF receptor 2; Receptor for NPAF (A-18-F-amide) and NPFF (F-8-F-amide) neuropeptides, also known as morphine-modulating peptides. Can also be activated by a variety of naturally occurring or synthetic FMRF-amide like ligands. This receptor mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system."
CID000002369,9606.ENSP00000303775,PROKR1,"Prokineticin receptor 1; Receptor for prokineticin 1. Exclusively coupled to the G(q) subclass of heteromeric G proteins. Activation leads to mobilization of calcium, stimulation of phosphoinositide turnover and activation of p44/p42 mitogen-activated protein kinase. May play a role during early pregnancy."
CID000002369,9606.ENSP00000292301,CCR2,"C-C chemokine receptor type 2; Key functional receptor for CCL2 but can also bind CCL7 and CCL12. Its binding with CCL2 on monocytes and macrophages mediates chemotaxis and migration induction through the activation of the PI3K cascade, the small G protein Rac and lamellipodium protrusion (Probable). Also acts as a receptor for the beta-defensin DEFB106A/DEFB106B. Regulates the expression of T-cell inflammatory cytokines and T-cell differentiation, promoting the differentiation of T-cells into T-helper 17 cells (Th17) during inflammation (By similarity). Facilitates the export of matur [...] "
CID000002369,9606.ENSP00000359643,LPAR3,"Lysophosphatidic acid receptor 3; Receptor for lysophosphatidic acid (LPA), a mediator of diverse cellular activities. May play a role in the development of ovarian cancer. Seems to be coupled to the G(i)/G(o) and G(q) families of heteromeric G proteins."
CID000002369,9606.ENSP00000243673,GPR83,Probable G-protein coupled receptor 83; Orphan receptor. Could be a neuropeptide Y receptor.
CID000002369,9606.ENSP00000443256,LPAR2,"Lysophosphatidic acid receptor 2; Receptor for lysophosphatidic acid (LPA), a mediator of diverse cellular activities. Seems to be coupled to the G(i)/G(o), G(12)/G(13), and G(q) families of heteromeric G proteins. Plays a key role in phospholipase C-beta (PLC-beta) signaling pathway. Stimulates phospholipase C (PLC) activity in a manner that is independent of RALA activation."
CID000002369,9606.ENSP00000296271,RHO,Rhodopsin; Photoreceptor required for image-forming vision at low light intensity. Required for photoreceptor cell viability after birth. Light- induced isomerization of the chromophore 11-cis-retinal to all-trans- retinal triggers a conformational change that activates signaling via G-proteins. Subsequent receptor phosphorylation mediates displacement of the bound G-protein alpha subunit by the arrestin SAG and terminates signaling.
CID000002369,9606.ENSP00000255262,NMUR2,Neuromedin-U receptor 2; Receptor for the neuromedin-U and neuromedin-S neuropeptides. Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000226413,GNRHR,Gonadotropin-releasing hormone receptor; Receptor for gonadotropin releasing hormone (GnRH) that mediates the action of GnRH to stimulate the secretion of the gonadotropic hormones luteinizing hormone (LH) and follicle-stimulating hormone (FSH). This receptor mediates its action by association with G- proteins that activate a phosphatidylinositol-calcium second messenger system. Isoform 2 may act as an inhibitor of GnRH-R signaling.
CID000002369,9606.ENSP00000217270,PROKR2,"Prokineticin receptor 2; Receptor for prokineticin 2. Exclusively coupled to the G(q) subclass of heteromeric G proteins. Activation leads to mobilization of calcium, stimulation of phosphoinositide turnover and activation of p44/p42 mitogen-activated protein kinase."
CID000002369,9606.ENSP00000350256,CCR9,C-C chemokine receptor type 9; Receptor for chemokine SCYA25/TECK. Subsequently transduces a signal by increasing the intracellular calcium ions level. Belongs to the G-protein coupled receptor 1 family.
CID000002369,9606.ENSP00000275198,TAAR6,"Trace amine-associated receptor 6; Orphan receptor. Could be a receptor for trace amines. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained speculative. Trace amines are likely to be involved in a variety of physiological functions that have yet to be fully understood."
